📦 Path          : Cerra_inner_Anemoids.zarr
🔢 Format version: 0.30.0

📅 Start      : 2020-01-01 00:00
📅 End        : 2025-07-31 21:00
⏰ Frequency  : 3h
🚫 Missing    : 0
🌎 Resolution : None
🌎 Field shape: [72, 152]

📐 Shape      : 16,312 × 74 × 1 × 10,944 (49.2 GiB)
💽 Size       : 26.8 GiB (26.8 GiB)
📁 Files      : 16,349

   Index │ Variable             │         Min │      Max │      Mean │      Stdev
   ──────┼──────────────────────┼─────────────┼──────────┼───────────┼───────────
       0 │ cos_latitude         │    0.580056 │ 0.636759 │  0.607443 │  0.0143957
       1 │ cos_longitude        │    0.990268 │        1 │  0.997546 │ 0.00266334
       2 │ insolation           │           0 │ 0.889527 │  0.204079 │   0.266004
       3 │ julian_day           │           0 │  365.875 │   172.387 │     105.35
       4 │ lsm                  │           0 │        1 │  0.584956 │    0.47988
       5 │ mask                 │           1 │        1 │         1 │          0
       6 │ mcc                  │           0 │      100 │   34.2396 │    38.0681
       7 │ msl                  │     95395.2 │   105026 │    101451 │    1154.38
       8 │ power                │           0 │      461 │   116.085 │    121.399
       9 │ r_1000               │     3.73942 │  100.072 │   78.1959 │    14.9212
      10 │ r_500                │           0 │  100.061 │   51.9512 │    30.9485
      11 │ r_600                │           0 │  100.051 │   49.3372 │    30.6143
      12 │ r_700                │           0 │  100.053 │     51.86 │    30.2279
      13 │ r_750                │           0 │  100.068 │   55.8514 │    29.7609
      14 │ r_800                │           0 │  100.053 │   62.0814 │     28.375
      15 │ r_850                │           0 │  100.053 │   69.3966 │    25.4288
      16 │ r_900                │           0 │  100.064 │   75.2513 │    21.0442
      17 │ r_950                │           0 │  100.092 │   77.9182 │    17.3327
      18 │ sin_latitude         │    0.771063 │ 0.814577 │  0.794157 │  0.0110092
      19 │ sin_longitude        │  -0.0821125 │ 0.139173 │ 0.0323369 │  0.0620471
      20 │ surface_geopotential │    -101.895 │  5152.02 │   468.004 │    803.657
      21 │ synthetic_windpower  │           0 │      9.5 │   3.57362 │    3.40869
      22 │ t2m                  │      256.88 │  316.183 │   283.918 │    5.59123
      23 │ t_1000               │      262.43 │  311.666 │   283.775 │    5.41977
      24 │ t_500                │     231.241 │  270.026 │    252.82 │    5.98633
      25 │ t_600                │     241.572 │  278.793 │   261.823 │     5.7713
      26 │ t_700                │     249.535 │  286.915 │   268.823 │     5.5684
      27 │ t_750                │     251.436 │  290.217 │   271.711 │    5.54353
      28 │ t_800                │     253.196 │  294.174 │   274.235 │      5.535
      29 │ t_850                │     256.705 │  298.464 │   276.542 │     5.4915
      30 │ t_900                │     258.173 │  302.406 │   278.891 │    5.44274
      31 │ t_950                │     260.321 │  306.865 │   281.384 │    5.44928
      32 │ u_1000               │    -23.5092 │  28.3385 │   1.99772 │    5.75377
      33 │ u_500                │    -41.7681 │  76.7773 │   10.3043 │    12.2091
      34 │ u_600                │     -32.936 │  63.0642 │   8.67069 │    10.4702
      35 │ u_700                │    -28.4243 │  54.4732 │   7.28509 │     9.2998
      36 │ u_750                │    -28.5227 │  48.8437 │   6.66621 │    8.89019
      37 │ u_800                │    -31.9886 │  46.4831 │   6.09581 │    8.64243
      38 │ u_850                │    -32.0313 │  47.4962 │   5.56839 │    8.55668
      39 │ u_900                │    -33.1456 │  44.4041 │   4.97367 │    8.45275
      40 │ u_950                │    -29.6776 │  37.3085 │   3.90981 │     7.8454
      41 │ v_1000               │    -27.8701 │  28.2219 │    1.1145 │    5.43929
      42 │ v_500                │    -59.8711 │  50.2911 │ -0.652521 │    11.8285
      43 │ v_600                │    -45.4611 │  44.6796 │ -0.195847 │    9.70044
      44 │ v_700                │    -43.5707 │  47.0335 │  0.160692 │    8.21928
      45 │ v_750                │     -46.989 │  41.3285 │  0.337573 │    7.67817
      46 │ v_800                │    -47.0268 │  38.5213 │  0.482746 │    7.31068
      47 │ v_850                │    -42.6757 │  39.6863 │  0.619867 │    7.14279
      48 │ v_900                │    -38.5243 │  38.8842 │  0.861624 │     7.1615
      49 │ v_950                │     -36.046 │  35.1378 │   1.26273 │    7.01286
      50 │ wdir10_cos           │          -1 │        1 │ -0.142627 │    0.68909
      51 │ wdir10_sin           │          -1 │        1 │ -0.194687 │   0.683307
      52 │ wdir_cos100          │          -1 │        1 │ -0.134027 │   0.680918
      53 │ wdir_cos150          │          -1 │        1 │ -0.127825 │   0.677572
      54 │ wdir_cos200          │          -1 │        1 │ -0.121188 │   0.674381
      55 │ wdir_cos50           │          -1 │        1 │ -0.139355 │   0.684564
      56 │ wdir_sin100          │          -1 │        1 │ -0.216591 │    0.68664
      57 │ wdir_sin150          │          -1 │        1 │ -0.227626 │   0.687563
      58 │ wdir_sin200          │          -1 │        1 │ -0.238141 │    0.68834
      59 │ wdir_sin50           │          -1 │        1 │ -0.205579 │   0.685339
      60 │ ws10                 │ 0.000568204 │  30.2029 │   5.62575 │    3.53067
      61 │ ws100                │ 0.000530724 │  36.6037 │    7.9961 │    4.05384
      62 │ ws150                │ 0.000545902 │  37.9087 │   8.60085 │     4.2884
      63 │ ws200                │ 0.000605969 │   38.898 │   9.05915 │    4.52898
      64 │ ws50                 │ 0.000379541 │  34.4679 │   7.09231 │    3.81383
      65 │ z_1000               │    -3884.39 │   3918.2 │   1172.08 │    925.435
      66 │ z_500                │     49056.3 │  58566.4 │   54740.8 │    1569.89
      67 │ z_600                │     36165.1 │  44279.1 │   41262.6 │    1319.07
      68 │ z_700                │     24713.8 │  32138.6 │   29507.9 │    1134.75
      69 │ z_750                │     19314.3 │  26691.3 │   24147.4 │    1063.73
      70 │ z_800                │     14213.9 │  21594.4 │     19081 │     1006.2
      71 │ z_850                │     9374.13 │  16785.9 │     14278 │    963.685
      72 │ z_900                │     4759.53 │  12272.8 │    9709.2 │    937.453
      73 │ z_950                │     340.352 │  7995.83 │   5347.58 │    926.311
   ──────┴──────────────────────┴─────────────┴──────────┴───────────┴───────────
🔋 Dataset ready, last update yesterday at 16:26.
📊 Statistics ready.

